JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Field Methods,1525-822X,1552-3969,1999-08,11,1,,,,,
,First Language,0142-7237,1740-2344,1999-02,19,55,,,,,
,Focus on Autism and Other Developmental Disabilities,1088-3576,1538-4829,1999-01,14,1,,,,,
,Food Science and Technology International,1082-0132,1532-1738,1999-01,5,1,,,,,
,Foot and Ankle Specialist,1938-6400,1938-7636,2008-02,1,1,,,,,
,French Cultural Studies,0957-1558,1740-2352,1999-02,10,28,,,,,Y
,Games and Culture,1555-4120,1555-4139,2006-01,1,1,,,,,Y
,Gender & Society,0891-2432,1552-3977,1999-02,13,1,,,,,
,"Gender, Technology and Development",0971-8524,0973-0656,1999-03,3,1,,,,,
,General Music Today,1048-3713,1931-3756,1999-01,12,2,,,,,
,Genes & Cancer,1947-6019,1947-6027,2010-01,1,1,,,,,
,Geriatric Orthopaedic Surgery & Rehabilitation,2151-4585,2151-4593,2010-09,1,1,,,,,
,Gifted Child Quarterly,0016-9862,1934-9041,1999-01,43,1,,,,,
,Gifted Child Today,1076-2175,,1999-01,,,,,,,
,Global Business Review,0972-1509,0973-0664,2000-02,1,1,,,,,
,Global Health Promotion,1757-9759,1757-9767,1999-03,6,1,,,,,
,Global Journal of Emerging Market Economies,0974-9101,0975-2730,2009-01,1,1,,,,,
,Global Media and Communication,1742-7665,1742-7673,2005-04,1,1,,,,,Y
,Global Social Policy,1468-0181,1741-2803,2001-04,1,1,,,,,
,Group & Organization Management,1059-6011,1552-3993,1999-03,24,1,,,,,
,Group Analysis,0533-3164,1461-717X,1999-03,32,1,,,,,
,Group Processes & Intergroup Relations,1368-4302,1461-7188,1999-01,2,1,,,,,Y
,Health Education & Behavior,1090-1981,1552-6127,1999-02,26,1,,,,,
,Health Education Journal,0017-8969,1748-8176,1999-01,58,1,,,,,
,Health Informatics Journal,1460-4582,1741-2811,1999-03,5,1,,,,,
,Health Promotion Practice,1524-8399,1552-6372,2000-01,1,1,,,,,
,Health: An Interdisciplinary Journal,1363-4593,1461-7196,1999-01,3,1,,,,,
,High Performance Polymers,0954-0083,1361-6412,1999-03,11,1,,,,,
,Hispanic Journal of Behavioral Sciences,0739-9863,1552-6364,1999-02,21,1,,,,,
,History and Sociology of South Asia,2230-8075,,2007-06,1,1,,,,,
,History of Psychiatry,0957-154X,1740-2360,1999-03,10,37,,,,,
,History of the Human Sciences,0952-6951,1461-720X,1999-02,12,1,,,,,Y
,Home Health Care Management & Practice,1084-8223,1552-6739,1999-02,11,2,,,,,
,Homicide Studies,1088-7679,1552-6720,1999-02,3,1,,,,,
,Human and Experimental Toxicology,0960-3271,1477-0903,1999-01,18,1,,,,,
,Human Factors ,0018-7208,1547-8181,1999-03,41,1,,,,,
,Human Relations,0018-7267,1741-282X,1999-01,52,1,,,,,
,Human Resource Development Review,1534-4843,1552-6712,2002-03,1,1,,,,,
,"ICAN:  Infant, Child, & Adolescent Nutrition",1941-4064,1941-4072,2009-02,1,1,,,,,
,ICU Director,1944-4516,1944-4524,2010-01,1,1,,,,,
,IFLA Journal,0340-0352,1745-2651,1999-01,25,1,,,,,
,Improving Schools,1365-4802,1475-7583,1999-01,2,1,,,,,
,Index on Censorship,0306-4220,1746-6067,1999-01,28,1,,,,,Y
,India Quarterly: A Journal of International Affairs,0974-9284,0975-2684,2005-01,61,1,,,,,
,Indian Economic and Social History Review,0019-4646,0973-0893,1999-03,36,1,,,,,
,Indian Journal of Gender Studies,0971-5215,0973-0672,1999-03,6,1,,,,,
,Indoor and Built Environment,1420-326X,1423-0070,1999-01,8,1,,,,,
,Information Development,0266-6669,1741-6469,1999-03,15,1,,,,,
,Information Visualization,1473-8716,1473-8724,2002-03,1,1,,,,,
,Innate Immunity,1753-4259,1753-4267,1999-02,5,01-Feb,,,,,
,Integrative Cancer Therapies,1534-7354,1552-695X,2002-03,1,1,,,,,
,International Communication Gazette,1748-0485,1748-0493,1999-02,61,1,,,,,
,International Criminal Justice Review,1057-5677,1556-3855,1999-05,9,1,,,,,
,International Journal of Behavioral Development,0165-0254,1464-0651,1999-03,23,1,,,,,
,International Journal of Bilingualism,1367-0069,1756-6878,1999-03,3,1,,,,,
,International Journal of Comparative Sociology,0020-7152,1745-2554,1999-03,40,1,,,,,
,International Journal of Cross Cultural Management,1470-5958,1741-2838,2001-04,1,1,,,,,
,International Journal of Cultural Studies,1367-8779,1460-356X,1999-04,2,1,,,,,Y
,International Journal of Damage Mechanics,1056-7895,1530-7921,1999-01,8,1,,,,,
,International Journal of High Performance Computing Applications,1094-3420,1741-2846,1999-02,13,1,,,,,
,International Journal of Music Education,0255-7614,1744-795X,2004-04,22,1,2003-05,40,1,,
,International Journal of Offender Therapy and Comparative Criminology,0306-624X,1552-6933,1999-01,43,1,,,,,
,International Journal of Robotics Research,0278-3649,1741-3176,1999-01,18,1,,,,,
,International Journal of Rural Management,0973-0052,0973-0680,2005-06,1,1,2010-04,6,1,,
,International Journal of Social Psychiatry,0020-7640,1741-2854,1999-03,45,1,,,,,
,International Journal of Surgical Pathology,1066-8969,1940-2465,1999-01,7,1,,,,,
,International Journal of Toxicology,1091-5818,1092-874X,1999-01,18,1,,,,,
,International Political Science Abstracts / Documentation Politique Internationale,0020-8345,1751-9292,2007-02,57,1,,,,,Y
,International Political Science Review/ Revue internationale de science politique,0192-5121,1460-373X,1999-01,20,1,,,,,
,International Regional Science Review,0160-0176,1552-6925,1999-04,22,1,,,,,
,International Relations,0047-1178,1741-2862,1999-04,14,4,,,,,
,International Review for the Sociology of Sport,1012-6902,1461-7218,1999-03,34,1,,,,,
,International Review of Administrative Sciences,0020-8523,1461-7226,1999-03,65,1,,,,,
