@subscriber_role:=rdv_id
12
@jusplogin :=idns_id
90
@jusp:=idns_id
87
rdv_value	core_start_year	core_end_year	id_value	id_value	tipp_id
Yes	2011	2012	17	kcl	3520
Yes	2011	2012	3186	kcl	3546
Yes	2011	2012	329	kcl	3590
Yes	2011	2012	1922	kcl	3592
Yes	2011	2012	1782	kcl	3594
Yes	2011	2012	333	kcl	3605
Yes	2011	2012	2278	kcl	3614
Yes	2011	2012	2550	kcl	3622
Yes	2011	2012	354	kcl	3646
Yes	2011	2012	356	kcl	3650
Yes	2011	2012	1135	kcl	3693
Yes	2011	2012	1538	kcl	3704
Yes	2011	2012	2281	kcl	3716
Yes	2011	2012	1251	kcl	3719
Yes	2011	2012	408	kcl	3769
Yes	2011	2012	2389	kcl	3784
Yes	2011	2012	2719	kcl	3795
Yes	2011	2012	3708	kcl	3802
Yes	2011	2012	422	kcl	3806
Yes	2011	2012	928	kcl	3812
Yes	2011	2012	1619	kcl	3815
Yes	2011	2012	1767	kcl	3817
Yes	2011	2012	4184	kcl	3830
Yes	2011	2012	439	kcl	3831
Yes	2011	2012	184	kcl	3887
Yes	2011	2012	2726	kcl	3889
Yes	2011	2012	1144	kcl	3890
Yes	2011	2012	1067	kcl	3897
Yes	2011	2012	2128	kcl	3904
Yes	2011	2012	3353	kcl	3916
Yes	2011	2012	507	kcl	3927
Yes	2011	2012	509	kcl	3928
Yes	2011	2012	861	kcl	3954
Yes	2011	2012	4353	kcl	3975
Yes	2011	2012	1182	kcl	3993
Yes	2011	2012	2390	kcl	3994
Yes	2011	2012	543	kcl	3997
Yes	2011	2012	1832	kcl	4006
Yes	2011	2012	1280	kcl	4054
Yes	2011	2012	4354	kcl	4060
Yes	2011	2012	1993	kcl	4063
Yes	2011	2012	4208	kcl	4064
Yes	2011	2012	587	kcl	4065
Yes	2011	2012	1134	kcl	4081
Yes	2011	2012	1384	kcl	4089
Yes	2011	2012	618	kcl	4117
Yes	2011	2012	793	kcl	4123
Yes	2011	2012	2782	kcl	4128
Yes	2011	2012	3536	kcl	4145
Yes	2011	2012	1020	kcl	4148
Yes	2011	2012	2422	kcl	4186
Yes	2011	2012	2523	kcl	4208
Yes	2011	2012	680	kcl	4232
Yes	2011	2012	2590	kcl	4235
Yes	2011	2012	688	kcl	4243
Yes	2011	2012	3651	kcl	4265
Yes	2011	2012	471	kcl	4270
Yes	2011	2012	3195	kcl	4278
Yes	2011	2012	7562	uow	78
Yes	2011	2012	7591	uow	86
Yes	2011	2012	7573	uow	87
Yes	2011	2012	7560	uow	94
Yes	2011	2012	5421	bhm	11350
Yes	2011	2012	5423	bhm	11352
Yes	2011	2012	5427	bhm	11355
Yes	2011	2012	5444	bhm	11357
Yes	2011	2012	5429	bhm	11358
Yes	2011	2012	5430	bhm	11359
Yes	2011	2012	5425	bhm	11360
Yes	1992	2012	2395	hud	9408
Yes	2011	2012	2957	hud	9556
Yes	1991	2012	301	hud	9764
Yes	1972	2012	5139	hud	9851
Yes	2011	2012	2725	hud	9884
Yes	1991	2012	354	hud	9896
Yes	1998	2012	2132	hud	10046
Yes	2005	2012	184	hud	10270
Yes	1977	2012	5394	hud	10347
Yes	1994	2012	2592	hud	10407
Yes	1998	2012	3629	hud	10408
Yes	1992	2012	610	hud	10591
Yes	1993	2012	1513	hud	10828
Yes	2011	2012	782	hud	10885
Yes	1994	2012	2343	hud	10900
Yes	2011	2012	7319	bhm	11243
Yes	2011	2012	7327	bhm	11246
Yes	2011	2012	7329	bhm	11248
Yes	2011	2012	7330	bhm	11249
Yes	2011	2012	7336	bhm	11253
Yes	2011	2012	7338	bhm	11254
Yes	2011	2012	7339	bhm	11255
Yes	2011	2012	7342	bhm	11256
Yes	2011	2012	7344	bhm	11257
Yes	2011	2012	7348	bhm	11258
Yes	2011	2012	7349	bhm	11259
Yes	2011	2012	7354	bhm	11262
Yes	2011	2012	7358	bhm	11263
Yes	2011	2012	7360	bhm	11265
Yes	2011	2012	7361	bhm	11266
Yes	2011	2012	7364	bhm	11267
Yes	2011	2012	7378	bhm	11276
Yes	2011	2012	7388	bhm	11277
Yes	2011	2012	7394	bhm	11278
Yes	2011	2012	7395	bhm	11279
Yes	2011	2012	7398	bhm	11280
Yes	2012	2012	6673	sus	6524
Yes	2012	2012	6693	sus	6977
Yes	2012	2012	6709	sus	6824
Yes	2012	2012	6749	sus	6743
Yes	2012	2012	6750	sus	6828
Yes	2012	2012	6761	sus	6745
Yes	2012	2012	6762	sus	6831
Yes	2012	2012	6765	sus	6558
Yes	2012	2012	6769	sus	6747
Yes	2012	2012	6770	sus	6559
Yes	2012	2012	6779	sus	6835
Yes	2012	2012	6787	sus	6563
Yes	2012	2012	6797	sus	6567
Yes	2012	2012	6799	sus	6836
Yes	2012	2012	6801	sus	6568
Yes	2012	2012	6803	sus	6838
Yes	2012	2012	6805	sus	6753
Yes	2012	2012	6806	sus	6754
Yes	2012	2012	6808	sus	6958
Yes	2012	2012	6809	sus	6569
Yes	2012	2012	6810	sus	6570
Yes	2012	2012	6819	sus	6966
Yes	2012	2012	6825	sus	6759
Yes	2012	2012	6826	sus	7050
Yes	2012	2012	6836	sus	7046
Yes	2012	2012	6840	sus	6577
Yes	2012	2012	6849	sus	6763
Yes	2012	2012	6858	sus	6584
Yes	2012	2012	6873	sus	6922
Yes	2012	2012	6885	sus	7062
Yes	2012	2012	6893	sus	6858
Yes	2012	2012	6913	sus	6601
Yes	2012	2012	6927	sus	6773
Yes	2012	2012	6931	sus	6612
Yes	2012	2012	6934	sus	6613
Yes	2012	2012	6952	sus	6775
Yes	2012	2012	6953	sus	6621
Yes	2012	2012	6955	sus	6622
Yes	2012	2012	6963	sus	6626
Yes	2012	2012	1010	sus	6780
Yes	2012	2012	6988	sus	6871
Yes	2012	2012	6993	sus	6637
Yes	2012	2012	7013	sus	6987
Yes	2012	2012	7032	sus	7010
Yes	2012	2012	7035	sus	6878
Yes	2012	2012	7036	sus	6655
Yes	2012	2012	7046	sus	6660
Yes	2012	2012	7052	sus	6661
Yes	2012	2012	7059	sus	6882
Yes	2012	2012	7069	sus	6934
Yes	2012	2012	7080	sus	6673
Yes	2012	2012	7082	sus	6675
Yes	2012	2012	7083	sus	6795
Yes	2012	2012	7088	sus	6887
Yes	2012	2012	7095	sus	6890
Yes	2012	2012	7116	sus	6892
Yes	2012	2012	7117	sus	6893
Yes	2012	2012	7118	sus	6679
Yes	2012	2012	7086	sus	6968
Yes	2012	2012	7131	sus	6896
Yes	2012	2012	7141	sus	6690
Yes	2012	2012	1958	sus	6897
Yes	2012	2012	7153	sus	6799
Yes	2012	2012	7157	sus	6903
Yes	2012	2012	7164	sus	6802
Yes	2012	2012	7166	sus	6804
Yes	2012	2012	7170	sus	6956
Yes	2012	2012	7184	sus	6963
Yes	2012	2012	6850	sus	6706
Yes	2012	2012	6924	sus	6709
Yes	2012	2012	7193	sus	6941
Yes	2012	2012	7221	sus	6724
Yes	2012	2012	7231	sus	6917
Yes	2012	2014	201895	bhm	7453
Yes	2012	2014	202026	bhm	7457
Yes	2012	2014	202126	bhm	7458
Yes	2012	2014	202127	bhm	7460
Yes	2012	2014	202029	bhm	7462
Yes	2012	2014	201206	hud	1219
Yes	2012	2014	200415	hud	1272
Yes	2012	2014	200995	hud	1282
Yes	2012	2014	200039	hud	1295
Yes	2012	2014	200495	hud	1300
Yes	2012	2014	200659	hud	1352
Yes	2012	2014	200875	hud	1365
Yes	2012	2014	201684	hud	1370
Yes	2012	2014	200515	hud	1378
Yes	2012	2014	200610	hud	1380
Yes	2012	2014	200073	hud	1381
Yes	2012	2014	200075	hud	1382
Yes	2012	2014	200077	hud	1385
Yes	2012	2014	201535	hud	1386
Yes	2012	2014	201271	hud	1387
Yes	2012	2014	201583	hud	1389
Yes	2012	2014	200081	hud	1390
Yes	2012	2014	200516	hud	1392
Yes	2012	2014	201132	hud	1393
Yes	2012	2014	200732	hud	1396
Yes	2012	2014	201191	hud	1401
Yes	2012	2014	201154	hud	1403
Yes	2012	2014	201545	hud	1429
Yes	2012	2014	201138	hud	1430
Yes	2012	2014	201710	hud	1431
Yes	2012	2014	200100	hud	1432
Yes	2012	2014	201969	hud	1433
Yes	2012	2014	200724	hud	1434
Yes	2012	2014	201123	hud	1435
Yes	2012	2014	200787	hud	1463
Yes	2012	2014	201193	hud	1497
Yes	2012	2014	201160	hud	1498
Yes	2012	2014	200107	hud	1499
Yes	2012	2014	201798	hud	1500
Yes	2012	2014	202094	hud	1520
Yes	2012	2014	201867	hud	1521
Yes	2012	2014	201693	hud	1522
Yes	2012	2014	201198	hud	1550
Yes	2012	2014	200626	hud	1559
Yes	2012	2014	200123	hud	1561
Yes	2012	2014	200636	hud	1566
Yes	2012	2014	200128	hud	1570
Yes	2012	2014	200129	hud	1571
Yes	2012	2014	200850	hud	1580
Yes	2012	2014	200130	hud	1581
Yes	2012	2014	201260	hud	1586
