@issn_type_id:=idns_id
7
@eissn_type_id:=idns_id
6
@doi_type_id:=idns_id
8
@e_issn2_type_id:=idns_id
91
ti_id	ISBN	EISSN	DOI	EISSN2	tipp_coverage_note
15512	0952-9608	NULL	NULL	NULL	now: Journal of Applied Research in Intellectual Disabilities
15514	0026-1114	NULL	NULL	NULL	now: Meteoritics and Planetary Science 1996-present; previously: Meteoritics 1953-1995; Contributions of the Meteoritical Society 1947-1951; Contributions of the Society for Research on Meteorites 1935-1946 
15516	2047-9751	NULL	NULL	NULL	now: Journal of Microscopy; previously: Journal of the Royal Microscopical Society 1878-1968; The Monthly Microscopical Journal 1869-1877; The Transactions of the Microscopical Society of London 1842-1868; Microscopic Journal and Structural Record 1841-1841
15517	1024-7890	NULL	NULL	NULL	now: International Migration; previously: Migration 1962-1962; Migración 1961-1961
15518	0540-0074	NULL	NULL	NULL	now: International Migration; previously: Migration 1962-1962; Migración 1961-1961
15521	1435-1943	NULL	10.1002/(ISSN)1860-1014	NULL	now: Fossil Record
15522	0272-3425	NULL	NULL	NULL	now: Journal of Continuing Education in the Health Professions
15523	0027-738X	NULL	NULL	NULL	now: Nachrichten aus der Chemie; previously: Nachrichten aus Chemie, Technik und Laboratorium 1976-1999; Nachrichten aus Chemie und Technik 1953-1975
15524	0341-5163	NULL	10.1002/(ISSN)1868-0054b	NULL	now: Nachrichten aus der Chemie; previously: Nachrichten aus Chemie, Technik und Laboratorium 1976-1999; Nachrichten aus Chemie und Technik 1953-1975
15525	0190-3799	NULL	NULL	NULL	now: National Civic Review
15526	2164-5825	NULL	NULL	NULL	now: Journal of Counseling and Development; previously: The Personnel and Guidance Journal 1952-1984; Occupations 1934-1952; The Vocational Guidance Magazine 1924-1936; National Vocational Guidance Association Bulletin 1921-1924
15529	0028-1441	NULL	NULL	NULL	now: Naval Research Logistics
15533	0164-7989	NULL	NULL	NULL	now: New Directions For Evaluation
15538	0369-4879	NULL	NULL	NULL	now: Journal of internal Medicine 1989-present; previously: Acta Medica Scandinavica 1919-1988; Nordiskt Medicinskt Arkiv 1869-1918; Medicinskt Archiv 1863-1868
15539	0027-7002	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15540	0147-2747	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15541	0090-8118	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15544	1071-7323	NULL	10.1002/(ISSN)1550-8528	NULL	now: Obesity
15545	2164-5841	NULL	NULL	NULL	now: Journal of Counseling and Development; previously: The Personnel and Guidance Journal 1952-1984; Occupations 1934-1952; The Vocational Guidance Magazine 1924-1936; National Vocational Guidance Association Bulletin 1921-1924
15548	0030-4921	NULL	NULL	NULL	now: Magnetic Resonance in Chemistry
15549	0030-493X	NULL	NULL	NULL	now: Journal of Mass Spectrometry
15554	0273-5326	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15555	0884-1985	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15556	8750-0191	NULL	NULL	NULL	now: Performance Improvement; previously: Performance and Instruction 1985-1996; Performance and Instruction Journal 1983-1984; Performance and Instruction 1981-1982; NSPI Journal 1972-1975; NSPI Newsletter 1972-1975; NSPI Journal 1962-1971
15557	0899-1073	NULL	NULL	NULL	now: Journal of Healthcare Risk Management
15562	0278-4513	NULL	NULL	NULL	now: Process Safety Progress
15563	0032-1877	NULL	NULL	NULL	now: Poe Studies; previously: Poe Studies/Dark Romanticism 1986-2006; Poe Studies - Old Series 1971-1985; Poe Newsletter 1968-1970
15564	0090-5224	NULL	NULL	NULL	now: Poe Studies; previously: Poe Studies/Dark Romanticism 1986-2006; Poe Studies - Old Series 1971-1985; Poe Newsletter 1968-1970
15569	0164-0399	NULL	NULL	NULL	now: Journal of the World Aquaculture Society; previously: Journal of the World Mariculture Society 1981-1985; Proceedings of the World Mariculture Society 1979-1980; Proceedings of the Annual Meeting - World Mariculture Society 1974-1978; Proceedings of the Annual Workshop - World Mariculture Society 1970-1973
15570	1043-5166	NULL	NULL	NULL	now: Journal of the World Aquaculture Society; previously: Journal of the World Mariculture Society 1981-1985; Proceedings of the World Mariculture Society 1979-1980; Proceedings of the Annual Meeting - World Mariculture Society 1974-1978; Proceedings of the Annual Workshop - World Mariculture Society 1970-1973
15572	1472-0949	NULL	NULL	NULL	now: Physiological Entomology; previously: Journal of Entomology Series A, General Entomology 1971-1976; Proceedings of the Royal Entomological Society of London. Series A, General Entomology 1936-1970; The Proceedings of the Royal Entomological Society 1933-1935; Proceedings of the Entomological Society of London 1926-1932
15575	2050-5914	NULL	NULL	NULL	now: Transactions of the Philological Society
15576	0375-0418	NULL	NULL	NULL	now: Physiological Entomology; previously: Journal of Entomology Series A, General Entomology 1971-1976; Proceedings of the Royal Entomological Society of London. Series A, General Entomology 1936-1970; The Proceedings of the Royal Entomological Society 1933-1935; Proceedings of the Entomological Society of London 1926-1932
15577	0375-0434	NULL	NULL	NULL	now: Systematic Entomology; previously: Journal of Entomology. Series B. Taxonomy & Systematics 1971-1976; Proceedings of the Royal Entomological Society of London. Series B, Taxonomy 1932-1970
15578	1946-1496	NULL	NULL	NULL	now: Physiological Entomology; previously: Journal of Entomology Series A, General Entomology 1971-1976; Proceedings of the Royal Entomological Society of London. Series A, General Entomology 1936-1970; The Proceedings of the Royal Entomological Society 1933-1935; Proceedings of the Entomological Society of London 1926-1932
15580	0748-3260	NULL	NULL	NULL	now: Journal of the World Aquaculture Society; previously: Journal of the World Mariculture Society 1981-1985; Proceedings of the World Mariculture Society 1979-1980; Proceedings of the Annual Meeting - World Mariculture Society 1974-1978; Proceedings of the Annual Workshop - World Mariculture Society 1970-1973
15582	0030-8013	NULL	NULL	NULL	now: Visual Anthropology Review; previously: SVA Review 1990-1990; SVA Newsletter 1985-1989; Studies in Visual Communication 1980-1985; Studies in the Anthropology of Visual Communication 1975-1979; Program in Ethnographic Film - (PIEF) Newsletter 1970-1974
15585	1365-0556	NULL	10.1111/(ISSN)1528-2716	NULL	merged: Structural Control & Health Monitoring
15592	0034-186X	NULL	NULL	NULL	now: Recueil des Travaux Chimiques des Pays-Bas; previously: Recueil des Travaux Chimiques des Pays-Bas et de la Belgique 1897-1919; Recueil des Travaux Chimiques des Pays-Bas 1882-1896
15594	0370-7539	NULL	NULL	NULL	now: Recueil des Travaux Chimiques des Pays-Bas; previously: Recueil des Travaux Chimiques des Pays-Bas et de la Belgique 1897-1919; Recueil des Travaux Chimiques des Pays-Bas 1882-1896
15596	0233-1829	NULL	NULL	NULL	now: Feddes Repertorium; previously: Feddes Repertorium Specierum Novarum Regni Vegetabilis 1943-1963; Repertorium Specierum Novarum Regni Vegetabilis 1910-1942; Repertorium Novarum Specierum Regni Vegetabilis 1905-1909
15599	0557-9325	NULL	10.1111/(ISSN)1478-4408a	NULL	now: Coloration Technology
15606	0036-553X	NULL	NULL	NULL	now: European Journal of Haematology
15608	0907-2055	NULL	NULL	NULL	now: International Journal of Social Welfare
15616	0370-839X	NULL	NULL	NULL	now: Acta Physiologica 2006-present; previously: Acta Physiologica Scandinavica 1940-2005; Skandinavisches Archiv fu?r Physiologie 1889-1940
15618	1938-2103	NULL	NULL	NULL	now: Society for the Anthropology of Europe Bulletin
15624	0036-1836	NULL	NULL	NULL	now: The Journal of Humanistic Counseling; previously: The Journal of Humanistic Counseling, Education and Development 1999-2010; The Journal of Humanistic Education and Development 1982-1999; The Humanist Educator 1975-1982; SPATE - Journal of the Student Personnel Association for Teacher Education 1961-1975
15633	0192-6918	NULL	NULL	NULL	now: Visual Anthropology Review; previously: SVA Review 1990-1990; SVA Newsletter 1985-1989; Studies in Visual Communication 1980-1985; Studies in the Anthropology of Visual Communication 1975-1979; Program in Ethnographic Film - (PIEF) Newsletter 1970-1974
15634	0276-6558	NULL	NULL	NULL	now: Visual Anthropology Review; previously: SVA Review 1990-1990; SVA Newsletter 1985-1989; Studies in Visual Communication 1980-1985; Studies in the Anthropology of Visual Communication 1975-1979; Program in Ethnographic Film - (PIEF) Newsletter 1970-1974
15636	1046-7688	NULL	NULL	NULL	now: Visual Anthropology Review; previously: SVA Review 1990-1990; SVA Newsletter 1985-1989; Studies in Visual Communication 1980-1985; Studies in the Anthropology of Visual Communication 1975-1979; Program in Ethnographic Film - (PIEF) Newsletter 1970-1974
15637	1053-6779	NULL	NULL	NULL	now: Visual Anthropology Review; previously: SVA Review 1990-1990; SVA Newsletter 1985-1989; Studies in Visual Communication 1980-1985; Studies in the Anthropology of Visual Communication 1975-1979; Program in Ethnographic Film - (PIEF) Newsletter 1970-1974
15639	0731-7239	NULL	10.1002/(ISSN)1099-1735	NULL	now: Systems Research
15648	0817-881X	NULL	NULL	NULL	now: Clinical and Experimental Optometry 1986-present; previously: The Australian Journal of Optometry 1959-1985;  The Australasian Journal of Optometry 1919-1959
15649	0045-0642	NULL	NULL	NULL	now: Clinical and Experimental Optometry 1986-present; previously: The Australian Journal of Optometry 1959-1985;  The Australasian Journal of Optometry 1919-1959
15651	NULL	NULL	10.1002/(ISSN)1556-7540	NULL	merged: The Brown University Psychopharmacology Update
15652	2164-5086	NULL	NULL	NULL	now: Counseling and Values 1973-present; previously: The National Catholic Guidance Conference Journal 1964-1971; The Catholic Counselor 1956-1964
15655	0362-9783	NULL	NULL	NULL	now: The Journal of Humanistic Counseling; previously: The Journal of Humanistic Counseling, Education and Development 1999-2010; The Journal of Humanistic Education and Development 1982-1999; The Humanist Educator 1975-1982; SPATE - Journal of the Student Personnel Association for Teacher Education 1961-1975
15656	0021-9754	NULL	NULL	NULL	now: The Journal of Clinical Pharmacology; previously: The Journal of Clinical Pharmacology and New Drugs 1971-1973; The Journal of Clinical Pharmacology and the Journal of New Drugs 1967-1970; The Journal of New Drugs 1961-1966
15657	0095-9863	NULL	NULL	NULL	now: The Journal of Clinical Pharmacology; previously: The Journal of Clinical Pharmacology and New Drugs 1971-1973; The Journal of Clinical Pharmacology and the Journal of New Drugs 1967-1970; The Journal of New Drugs 1961-1966
15658	0092-7317	NULL	NULL	NULL	now: Journal of Comparative Neurology; previously: Journal of Comparative Neurology and Psychology 1904-1910; The Journal of Comparative Neurology 1891-1903
15659	0148-0812	NULL	NULL	NULL	now: Dermatologic Surgery
15662	0096-0284	NULL	NULL	NULL	now: The Journal of Clinical Pharmacology; previously: The Journal of Clinical Pharmacology and New Drugs 1971-1973; The Journal of Clinical Pharmacology and the Journal of New Drugs 1967-1970; The Journal of New Drugs 1961-1966
15663	0275-8598	NULL	NULL	NULL	now: The Journal of Addictions and Offender Counseling
15665	0898-140X	NULL	NULL	NULL	now: Journal of Pharmaceutical Sciences; previously: Journal of the American Pharmaceutical Association 1940-1960; The Journal of the American Pharmaceutical Association 1912-1939
15667	0368-2927	NULL	NULL	NULL	now: Botanical Journal of the Linnean Society; previously: The Journal of the Linnean Society of London. Botany 1865-1968; Journal of the Proceedings of the Linnean Society. Botany 1856-1865
15668	0368-2935	NULL	NULL	NULL	now: Zoological Journal of the Linnean Society; previously: The Journal of the Linnean Society. Zoology 1866-1968; Journal of the Proceedings of the Linnean Society. Zoology 1856-1865
15671	1045-7577	NULL	NULL	NULL	now: The Journal of Latin American and Caribbean Anthropology 2007-present; previously: Journal of Latin American Anthropology 1995-2006; The Latin American Anthropology Review 1989-1994; Contributions of the Latin American Anthropology Group 1976-1976
15674	2047-1491	NULL	NULL	NULL	now: Journal of Microscopy; previously: Journal of the Royal Microscopical Society 1878-1968; The Monthly Microscopical Journal 1869-1877; The Transactions of the Microscopical Society of London 1842-1868; Microscopic Journal and Structural Record 1841-1841
15678	0031-5737	NULL	NULL	NULL	now: Journal of Counseling and Development; previously: The Personnel and Guidance Journal 1952-1984; Occupations 1934-1952; The Vocational Guidance Magazine 1924-1936; National Vocational Guidance Association Bulletin 1921-1924
15679	1472-0981	NULL	NULL	NULL	now: Physiological Entomology; previously: Journal of Entomology Series A, General Entomology 1971-1976; Proceedings of the Royal Entomological Society of London. Series A, General Entomology 1936-1970; The Proceedings of the Royal Entomological Society 1933-1935; Proceedings of the Entomological Society of London 1926-1932
15681	2047-1483	NULL	NULL	NULL	now: Journal of Microscopy; previously: Journal of the Royal Microscopical Society 1878-1968; The Monthly Microscopical Journal 1869-1877; The Transactions of the Microscopical Society of London 1842-1868; Microscopic Journal and Structural Record 1841-1841
15682	2164-5833	NULL	NULL	NULL	now: Journal of Counseling and Development; previously: The Personnel and Guidance Journal 1952-1984; Occupations 1934-1952; The Vocational Guidance Magazine 1924-1936; National Vocational Guidance Association Bulletin 1921-1924
15686	0884-8181	NULL	NULL	NULL	now: Environmental Toxicology 1999-present; previously: Environmental toxicology and Water Quality 1991-1998; Toxicity Assessment 1986-1990
15687	1945-9432	NULL	NULL	NULL	previously: Transactions of the Linnean Society of London, 3rd Series 1939-1955; split: Transactions of the Linnean Society of London, 2nd Series Botany 1875-1922 and Transactions of the Linnean Society of London. 2nd Series Zoology 1875-1936; Transactions of the Linnean Society of London 1791-1874
15688	1945-9459	NULL	NULL	NULL	previously: Transactions of the Linnean Society of London, 3rd Series 1939-1955; split: Transactions of the Linnean Society of London, 2nd Series Botany 1875-1922 and Transactions of the Linnean Society of London. 2nd Series Zoology 1875-1936; Transactions of the Linnean Society of London 1791-1874
15689	1945-9467	NULL	NULL	NULL	previously: Transactions of the Linnean Society of London, 3rd Series 1939-1955; split: Transactions of the Linnean Society of London, 2nd Series Botany 1875-1922 and Transactions of the Linnean Society of London. 2nd Series Zoology 1875-1936; Transactions of the Linnean Society of London 1791-1874
15690	1945-9440	NULL	NULL	NULL	previously: Transactions of the Linnean Society of London, 3rd Series 1939-1955; split: Transactions of the Linnean Society of London, 2nd Series Botany 1875-1922 and Transactions of the Linnean Society of London. 2nd Series Zoology 1875-1936; Transactions of the Linnean Society of London 1791-1874
15692	0035-8894	NULL	NULL	NULL	now: Ecological Entomology; previously: Transactions of the Royal Entomological Society of London 1933-1975; Transactions of the Entomological Society of London 1836-1932
15699	0196-3627	NULL	NULL	NULL	now: Veterinary Radiology and Ultrasound; previously: Veterinary Radiology 1979-1991; Journal of the American Veterinary Radiology Society 1960-1978
15700	0042-7764	NULL	NULL	NULL	now: The Career Development Quarterly; previously: Vocational Guidance Quarterly 1952-1986
15702	0959-9754	NULL	10.1002/(ISSN)1099-1816	NULL	now: Journal of Water Law
15712	0044-2208	NULL	NULL	NULL	now: Journal of Basic Microbiology
15713	0044-2240	NULL	NULL	NULL	now: Journal of Applied Entomology
15714	0863-1786	NULL	NULL	NULL	now: Zeitschrift für Anorganische und Allgemeine Chemie; previously: Zeitschrift für Anorganische Chemie 1943-1950; Zeitschrift für Anorganische und Allgemeine Chemie 1915-1943; Zeitschrift für Anorganische Chemie 1892-1915
15715	0372-7874	NULL	NULL	NULL	now: Zeitschrift für Anorganische und Allgemeine Chemie; previously: Zeitschrift für Anorganische Chemie 1943-1950; Zeitschrift für Anorganische und Allgemeine Chemie 1915-1943; Zeitschrift für Anorganische Chemie 1892-1915
15716	0863-1778	NULL	NULL	NULL	now: Zeitschrift für Anorganische und Allgemeine Chemie; previously: Zeitschrift für Anorganische Chemie 1943-1950; Zeitschrift für Anorganische und Allgemeine Chemie 1915-1943; Zeitschrift für Anorganische Chemie 1892-1915
15720	0044-3263	NULL	NULL	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
15721	0372-851X	NULL	NULL	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
15722	0932-6707	NULL	NULL	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
15723	0372-9702	NULL	NULL	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
15724	0932-6979	NULL	NULL	NULL	now: Journal of Plant Nutrition and Soil Science 1999-present; Zeitschrift für Pflanzenernährung und Bodenkunde 1967-1998; Zeitschrift für Pflanzenernährung, Düngung und Bodenkunde 1946-1966; Bodenkunde und Pflanzenernährung 1936-1945; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde 1935-1936; Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde. Teil A, Wissenschaftlicher Teil 1927-1934; Zeitschrift für Pflanzenernährung und Düngung. Teil A, Wissenschaftlicher Teil 1922-1926
15727	0044-3573	NULL	NULL	NULL	now: Ethology
15731	0044-4294	NULL	NULL	NULL	now: Transboundary and Emerging Diseases; previously: Journal of Veterinary Medicine Series A 1986-2007; Zentralblatt für Veterinärmedizin. Reihe A 1963-1985; Zentralblatt für Veterinärmedizin 1954-1962
15732	0514-7158	NULL	NULL	NULL	now: Transboundary and Emerging Diseases; previously: Journal of Veterinary Medicine Series A 1986-2007; Zentralblatt für Veterinärmedizin. Reihe A 1963-1985; Zentralblatt für Veterinärmedizin 1954-1962
15733	0514-7166	NULL	NULL	NULL	now: Zoonoses and Public Health; previously: Journal of Veterinary Medicine Series B 1986-2006; Zentralblatt für Veterinärmedizin. Reihe B 1963-1985: Zentralblatt für Veterinärmedizin 1954-1962
15734	0177-0543	NULL	NULL	NULL	now: Transboundary and Emerging Diseases; previously: Journal of Veterinary Medicine Series A 1986-2007; Zentralblatt für Veterinärmedizin. Reihe A 1963-1985; Zentralblatt für Veterinärmedizin 1954-1962
15735	0721-0981	NULL	NULL	NULL	now: Transboundary and Emerging Diseases; previously: Journal of Veterinary Medicine Series A 1986-2007; Zentralblatt für Veterinärmedizin. Reihe A 1963-1985; Zentralblatt für Veterinärmedizin 1954-1962
15736	0300-8711	NULL	NULL	NULL	now: Transboundary and Emerging Diseases; previously: Journal of Veterinary Medicine Series A 1986-2007; Zentralblatt für Veterinärmedizin. Reihe A 1963-1985; Zentralblatt für Veterinärmedizin 1954-1962
15737	0721-1856	NULL	NULL	NULL	now: Zoonoses and Public Health; previously: Journal of Veterinary Medicine Series B 1986-2006; Zentralblatt für Veterinärmedizin. Reihe B 1963-1985: Zentralblatt für Veterinärmedizin 1954-1962
15738	0931-2021	NULL	NULL	NULL	now: Zoonoses and Public Health; previously: Journal of Veterinary Medicine Series B 1986-2006; Zentralblatt für Veterinärmedizin. Reihe B 1963-1985: Zentralblatt für Veterinärmedizin 1954-1962
15751	0733-9380	NULL	now: Journal of Professional Issues in Engineering Education and Practice 1991-	NULL	now Journal of Professional Issues in Engineering Education and Practice 1991-
15752	0007-1099	NULL	NULL	NULL	Now: European Journal of Marketing
15753	1051-4805	NULL	NULL	NULL	Now: Internet Research
15754	0265-3028	NULL	NULL	NULL	Now: Microelectronics International
15755	0007-6929	NULL	NULL	NULL	Now: Industrial Management and Data Systems
15756	1464-6676	NULL	NULL	NULL	Now: Young Consumers
15758	1569-9293	NULL	NULL	NULL	A subscription to the European Journal of Cardio-Thoracic Surgery includes a subscription to Interactive Cardiovascular and Thoracic Surgery
15765	2050-5698	NULL	NULL	NULL	Formerly Journal of Electron Microscopy
15767	2325-0984	NULL	NULL	NULL	In 2013, subscriptions to Public Opinion Quarterly will include a subscription to Journal of Survey Statistics and Methodology
15770	1361-5874	NULL	NULL	NULL	Now: Clinical Governance: An International Journal. Previously: British Journal of Clinical Governance. Incorporated: Clinical Performance and Quality Healthcare 
15771	0263-7480	NULL	NULL	NULL	Now: Journal of Property Investment & Finance. Previously: Journal of Property Valuation and Investment 1991-1998 Incorporates: Journal of Property Finance
15772	0953-2137	NULL	NULL	NULL	Now: Journal of Enterprise Information Managment. Previously: Logistics Information Management 1989-2003
15773	8756-5196	NULL	NULL	NULL	Now: OCLC Systems and Services
15774	0167-5710	NULL	NULL	NULL	Now: Information, Technology and People
15775	0374-4701	NULL	NULL	NULL	Now: Education and Training Previously: Technical Education
15782	1553-0833	NULL	NULL	NULL	Absorbed by Bioinformatics
15789	NULL	NULL	NULL	NULL	Merged with: Environmental History Review 1990-1995 (Vols. 14-19) to form Environmental History 1996 to date (Vols. 1 ongoing). Continues Journal of Forest History
15790	0264-4924	NULL	NULL	NULL	now: Emergency Medicine Journal 2000-present; previously: Journal of Accident and Emergency Medicine 1994-2000; Archives of Disease in Childhood 1984-1993
15792	0007-0769	NULL	NULL	NULL	now: Heart
15793	0007-134X	NULL	NULL	NULL	now: Sexually Transmitted Infections 1998-present; previously: Genitourinary Medicine 1985-1997; British Journal of Venereal Diseases 1925-1984
15794	0306-3690	NULL	NULL	NULL	now: British Journal of Sports Medicine
15795	1355-2910	NULL	NULL	NULL	incorporated into: Journal of Clinical Pathology 2004-present; Molecular Pathology 1997-2003; Clinical Molecular Pathology 1995-1996
15796	0266-4348	NULL	NULL	NULL	now: Sexually Transmitted Infections 1998-present; previously: Genitourinary Medicine 1985-1997; British Journal of Venereal Diseases 1925-1984
15797	1351-0622	NULL	NULL	NULL	now: Emergency Medicine Journal 2000-present; previously: Journal of Accident and Emergency Medicine 1994-2000; Archives of Disease in Childhood 1984-1993
15798	0144-8625	NULL	NULL	NULL	now: Journal of Family Planning and Reproductive Health Care 2001-present
15799	0368-329X	NULL	NULL	NULL	now: Journal of Neurology, Neurosurgery and Psychiatry 1944 to present; previously: Journal of Neurology, Neurology and Psychiatry 1938-1943; The Journal of Neurology and Psychopathology 1920-1937
15801	0543-2766	NULL	NULL	NULL	now: Drug and Theraupetics Bulletin 1964-present
15802	1366-8714	NULL	NULL	NULL	incorporated into: Journal of Clinical Pathology 2004-present; Molecular Pathology 1997-2003; Clinical Molecular Pathology 1995-1996
15803	0963-8172	NULL	NULL	NULL	now: BMJ Quality and Safety; previously: Quality and Safety in Health Care 2002-2010; Quality in Health Care 1992-2001
15805	0266-8637	NULL	NULL	NULL	now: Journal of Neurology, Neurosurgery and Psychiatry 1944 to present; previously: Journal of Neurology, Neurology and Psychiatry 1938-1943; The Journal of Neurology and Psychopathology 1920-1937
15814	0304-257X	NULL	NULL	NULL	Absorbed
15815	0212-1786	NULL	NULL	NULL	Absorbed
15818	0725-0770	NULL	NULL	NULL	Absorbed
15819	0883-105X	NULL	NULL	NULL	Absorbed
15822	0570-0973	NULL	NULL	NULL	Absorbed
15826	2167-6208	NULL	NULL	NULL	Absorbed
15831	0728-4896	NULL	NULL	NULL	Absorbed
15833	2194-7449	NULL	NULL	NULL	Absorbed
15840	0810-1868	NULL	NULL	NULL	Absorbed
15841	0186-0658	NULL	NULL	NULL	Absorbed
15843	0304-2553	NULL	NULL	NULL	Absorbed
15844	2192-3132	NULL	NULL	NULL	Absorbed
15845	1383-5408	NULL	NULL	NULL	Absorbed
15846	0186-064X	NULL	NULL	NULL	Absorbed
15847	2221-4348	NULL	NULL	NULL	Absorbed
15849	0301-6676	NULL	NULL	NULL	Absorbed
15850	0304-2634	NULL	NULL	NULL	Absorbed
15851	0168-9657	NULL	NULL	NULL	Absorbed
15853	0315-761X	NULL	NULL	NULL	Absorbed
15854	0037-9514	NULL	NULL	NULL	Absorbed
15856	0373-5451	NULL	NULL	NULL	Absorbed
15857	0583-8789	NULL	NULL	NULL	Absorbed
15858	0008-0152	NULL	NULL	NULL	Absorbed
15859	0008-0497	NULL	NULL	NULL	Absorbed
15862	0184-7694	NULL	NULL	NULL	Absorbed
15869	0193-8703	NULL	NULL	NULL	Absorbed
15870	0094-7571	NULL	NULL	NULL	Absorbed
15874	1132-6093	NULL	NULL	NULL	Absorbed
15881	0185-0156	NULL	NULL	NULL	Absorbed
15884	0014-2190	NULL	NULL	NULL	Absorbed
15888	2044-1541	NULL	NULL	NULL	Absorbed
15892	0305-8980	NULL	NULL	NULL	Absorbed
15897	0214-7610	NULL	NULL	NULL	Absorbed
15900	1217-0283	NULL	NULL	NULL	Absorbed
15903	0046-967X	NULL	NULL	NULL	Absorbed
15909	0075-2533	NULL	NULL	NULL	Absorbed
15913	0361-7181	NULL	NULL	NULL	Absorbed
15915	1015-356X	NULL	NULL	NULL	Absorbed
15917	1087-7789	NULL	NULL	NULL	Absorbed
15919	0814-5725	NULL	NULL	NULL	Absorbed
15920	2156-4876	NULL	NULL	NULL	Absorbed
15925	2167-6194	NULL	NULL	NULL	Absorbed
15928	0544-0335	NULL	NULL	NULL	Absorbed
15930	0026-3184	NULL	NULL	NULL	Absorbed
15934	0260-0366	NULL	NULL	NULL	Absorbed
15935	2157-2968	NULL	NULL	NULL	Absorbed
15936	2221-4240	NULL	NULL	NULL	Absorbed
15940	0032-0005	NULL	NULL	NULL	Absorbed
15942	2156-1249	NULL	NULL	NULL	Absorbed
15943	0162-2021	NULL	NULL	NULL	Absorbed
15945	2160-2662	NULL	NULL	NULL	Absorbed
15948	2160-2654	NULL	NULL	NULL	Absorbed
15949	0894-8372	NULL	NULL	NULL	Absorbed
15950	0894-8380	NULL	NULL	NULL	Absorbed
15966	0394-123X	NULL	NULL	NULL	Absorbed
15968	2026-6707	NULL	NULL	NULL	Absorbed
15971	0363-2024	NULL	NULL	NULL	Absorbed
15973	1065-4690	NULL	NULL	NULL	Absorbed
15975	1054-3074	NULL	NULL	NULL	Absorbed
15976	2192-3124	NULL	NULL	NULL	Absorbed
15980	0044-314X	NULL	NULL	NULL	Absorbed
15999	 0371-0947	NULL	NULL	NULL	Now: Industrial Lubrication and Tribology
16004	0191-3352	NULL	NULL	NULL	Absorbed
